# Time          5.0000E+01
    Distance         pH
  1.8750E+00    6.0807E+00
  1.8850E+00    6.0807E+00
  1.8950E+00    6.0807E+00
  1.9050E+00    6.0807E+00
  1.9150E+00    6.0807E+00
  1.9250E+00    6.0807E+00
  1.9350E+00    6.0807E+00
  1.9450E+00    6.0808E+00
  1.9550E+00    6.0808E+00
  1.9650E+00    6.0808E+00
  1.9750E+00    6.0808E+00
  1.9850E+00    6.0808E+00
  1.9950E+00    6.0808E+00
  2.0050E+00    6.0808E+00
  2.0150E+00    6.0808E+00
  2.0250E+00    6.0808E+00
  2.0350E+00    6.0808E+00
  2.0450E+00    6.0809E+00
  2.0550E+00    6.0809E+00
  2.0650E+00    6.0809E+00
  2.0750E+00    6.0809E+00
  2.0850E+00    6.0809E+00
  2.0950E+00    6.0809E+00
  2.1050E+00    6.0809E+00
  2.1150E+00    6.0809E+00
  2.1250E+00    6.0809E+00
  2.1350E+00    6.0809E+00
  2.1450E+00    6.0809E+00
  2.1550E+00    6.0810E+00
  2.1650E+00    6.0810E+00
  2.1750E+00    6.0810E+00
  2.1850E+00    6.0810E+00
  2.1950E+00    6.0810E+00
  2.2050E+00    6.0810E+00
  2.2150E+00    6.0810E+00
  2.2250E+00    6.0810E+00
  2.2350E+00    6.0810E+00
  2.2450E+00    6.0810E+00
  2.2550E+00    6.0811E+00
  2.2650E+00    6.0811E+00
  2.2750E+00    6.0811E+00
  2.2850E+00    6.0811E+00
  2.2950E+00    6.0811E+00
  2.3050E+00    6.0811E+00
  2.3150E+00    6.0811E+00
  2.3250E+00    6.0811E+00
  2.3350E+00    6.0811E+00
  2.3450E+00    6.0811E+00
  2.3550E+00    6.0812E+00
  2.3650E+00    6.0812E+00
  2.3750E+00    6.0812E+00
  2.3850E+00    6.0812E+00
  2.3950E+00    6.0812E+00
  2.4050E+00    6.0812E+00
  2.4150E+00    6.0812E+00
  2.4250E+00    6.0812E+00
  2.4350E+00    6.0812E+00
  2.4450E+00    6.0812E+00
  2.4550E+00    6.0813E+00
  2.4650E+00    6.0813E+00
  2.4750E+00    6.0813E+00
  2.4850E+00    6.0813E+00
  2.4950E+00    6.0813E+00
  2.5050E+00    6.0813E+00
  2.5150E+00    6.0813E+00
  2.5250E+00    6.0813E+00
  2.5350E+00    6.0813E+00
  2.5450E+00    6.0813E+00
  2.5550E+00    6.0814E+00
  2.5650E+00    6.0814E+00
  2.5750E+00    6.0814E+00
  2.5850E+00    6.0814E+00
  2.5950E+00    6.0814E+00
  2.6050E+00    6.0814E+00
  2.6150E+00    6.0814E+00
  2.6250E+00    6.0814E+00
  2.6350E+00    6.0814E+00
  2.6450E+00    6.0814E+00
  2.6550E+00    6.0814E+00
  2.6650E+00    6.0815E+00
  2.6750E+00    6.0815E+00
  2.6850E+00    6.0815E+00
  2.6950E+00    6.0815E+00
  2.7050E+00    6.0815E+00
  2.7150E+00    6.0815E+00
  2.7250E+00    6.0815E+00
  2.7350E+00    6.0815E+00
  2.7450E+00    6.0815E+00
  2.7550E+00    6.0815E+00
  2.7650E+00    6.0816E+00
  2.7750E+00    6.0816E+00
  2.7850E+00    6.0816E+00
  2.7950E+00    6.0816E+00
  2.8050E+00    6.0816E+00
  2.8150E+00    6.0816E+00
  2.8250E+00    6.0816E+00
  2.8350E+00    6.0816E+00
  2.8450E+00    6.0816E+00
  2.8550E+00    6.0816E+00
  2.8650E+00    6.0817E+00
  2.8750E+00    6.0817E+00
  2.8850E+00    6.0817E+00
  2.8950E+00    6.0817E+00
  2.9050E+00    6.0817E+00
  2.9150E+00    6.0817E+00
  2.9250E+00    6.0817E+00
  2.9350E+00    6.0817E+00
  2.9450E+00    6.0817E+00
  2.9550E+00    6.0817E+00
  2.9650E+00    6.0817E+00
  2.9750E+00    6.0817E+00
  2.9850E+00    6.0818E+00
  2.9950E+00    6.0818E+00
