# Time          4.5000E+01
# Units: Log10 mol/kgw
    Distance      pH               H+               CO2(aq)          Mg++             Ca++             K+               SiO2(aq)         Na+              Al+++            Cl-              NO3-             Tracer           Al(OH)2+         AlO2-            AlOH++           CaCl+            CaCl2(aq)        HCO3-            H2SiO4--         HAlO2(aq)        HCl(aq)          HSiO3-           KCl(aq)          MgCl+            NaAlO2(aq)       NaCl(aq)         NaHSiO3(aq)      NaOH(aq)         OH-              CO3--            CaCO3(aq)        CaHCO3+          MgCO3(aq)        MgHCO3+          NaCO3-           NaHCO3(aq)   
       5.0000E-03       4.8815E+00      -4.8631E+00      -4.8045E+00      -3.9265E+00      -3.7412E+00      -4.6987E+00      -6.6141E+00      -3.0970E+00      -6.6367E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -7.6124E+00      -1.0125E+01      -6.7939E+00      -7.5039E+00      -1.0482E+01      -6.2447E+00      -1.9732E+01      -8.5892E+00      -7.1870E+00      -1.1655E+01      -9.2244E+00      -7.1256E+00      -1.4020E+01      -6.9041E+00      -1.3148E+01      -1.3034E+01      -9.0899E+00      -1.1630E+01      -1.2209E+01      -9.0196E+00      -1.2740E+01      -9.2130E+00      -1.4295E+01      -9.2253E+00
       1.5000E-02       4.8837E+00      -4.8653E+00      -4.7859E+00      -3.9396E+00      -3.7329E+00      -4.6983E+00      -6.5024E+00      -3.0970E+00      -6.6069E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -7.5783E+00      -1.0087E+01      -6.7621E+00      -7.4955E+00      -1.0474E+01      -6.2240E+00      -1.9616E+01      -8.5530E+00      -7.1892E+00      -1.1541E+01      -9.2240E+00      -7.1387E+00      -1.3982E+01      -6.9041E+00      -1.3034E+01      -1.3032E+01      -9.0877E+00      -1.1607E+01      -1.2178E+01      -8.9905E+00      -1.2731E+01      -9.2054E+00      -1.4272E+01      -9.2045E+00
       2.5000E-02       4.8858E+00      -4.8674E+00      -4.7688E+00      -3.9575E+00      -3.7220E+00      -4.6979E+00      -6.4137E+00      -3.0970E+00      -6.5793E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -7.5463E+00      -1.0050E+01      -6.7322E+00      -7.4847E+00      -1.0463E+01      -6.2047E+00      -1.9523E+01      -8.5189E+00      -7.1914E+00      -1.1450E+01      -9.2236E+00      -7.1566E+00      -1.3946E+01      -6.9042E+00      -1.2943E+01      -1.3030E+01      -9.0856E+00      -1.1585E+01      -1.2146E+01      -8.9604E+00      -1.2727E+01      -9.2041E+00      -1.4251E+01      -9.1853E+00
       3.5000E-02       4.8880E+00      -4.8696E+00      -4.7531E+00      -3.9807E+00      -3.7091E+00      -4.6975E+00      -6.3400E+00      -3.0970E+00      -6.5534E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -7.5161E+00      -1.0016E+01      -6.7042E+00      -7.4717E+00      -1.0450E+01      -6.1867E+00      -1.9445E+01      -8.4864E+00      -7.1936E+00      -1.1374E+01      -9.2232E+00      -7.1798E+00      -1.3911E+01      -6.9042E+00      -1.2867E+01      -1.3027E+01      -9.0834E+00      -1.1565E+01      -1.2113E+01      -8.9295E+00      -1.2730E+01      -9.2093E+00      -1.4231E+01      -9.1673E+00
       4.5000E-02       4.8903E+00      -4.8719E+00      -4.7385E+00      -4.0094E+00      -3.6944E+00      -4.6972E+00      -6.2770E+00      -3.0970E+00      -6.5292E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -7.4874E+00      -9.9824E+00      -6.6777E+00      -7.4571E+00      -1.0435E+01      -6.1700E+00      -1.9378E+01      -8.4554E+00      -7.1958E+00      -1.1309E+01      -9.2228E+00      -7.2084E+00      -1.3878E+01      -6.9042E+00      -1.2802E+01      -1.3025E+01      -9.0811E+00      -1.1546E+01      -1.2079E+01      -8.8981E+00      -1.2740E+01      -9.2212E+00      -1.4212E+01      -9.1506E+00
       5.5000E-02       4.8925E+00      -4.8741E+00      -4.7251E+00      -4.0436E+00      -3.6787E+00      -4.6968E+00      -6.2221E+00      -3.0971E+00      -6.5063E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -7.4600E+00      -9.9505E+00      -6.6526E+00      -7.4414E+00      -1.0419E+01      -6.1543E+00      -1.9318E+01      -8.4258E+00      -7.1981E+00      -1.1252E+01      -9.2224E+00      -7.2426E+00      -1.3846E+01      -6.9042E+00      -1.2745E+01      -1.3023E+01      -9.0789E+00      -1.1528E+01      -1.2046E+01      -8.8667E+00      -1.2756E+01      -9.2397E+00      -1.4194E+01      -9.1349E+00
       6.5000E-02       4.8948E+00      -4.8764E+00      -4.7128E+00      -4.0832E+00      -3.6627E+00      -4.6964E+00      -6.1733E+00      -3.0971E+00      -6.4848E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -7.4339E+00      -9.9197E+00      -6.6288E+00      -7.4253E+00      -1.0403E+01      -6.1396E+00      -1.9265E+01      -8.3974E+00      -7.2004E+00      -1.1201E+01      -9.2221E+00      -7.2822E+00      -1.3815E+01      -6.9042E+00      -1.2693E+01      -1.3021E+01      -9.0766E+00      -1.1511E+01      -1.2012E+01      -8.8360E+00      -1.2779E+01      -9.2646E+00      -1.4177E+01      -9.1203E+00
       7.5000E-02       4.8972E+00      -4.8788E+00      -4.7014E+00      -4.1279E+00      -3.6468E+00      -4.6961E+00      -6.1294E+00      -3.0971E+00      -6.4644E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -7.4088E+00      -9.8900E+00      -6.6061E+00      -7.4094E+00      -1.0388E+01      -6.1259E+00      -1.9216E+01      -8.3700E+00      -7.2027E+00      -1.1155E+01      -9.2217E+00      -7.3269E+00      -1.3786E+01      -6.9043E+00      -1.2647E+01      -1.3018E+01      -9.0742E+00      -1.1495E+01      -1.1981E+01      -8.8064E+00      -1.2807E+01      -9.2956E+00      -1.4161E+01      -9.1066E+00
       8.5000E-02       4.8995E+00      -4.8811E+00      -4.6909E+00      -4.1772E+00      -3.6316E+00      -4.6957E+00      -6.0896E+00      -3.0971E+00      -6.4451E+00      -2.9855E+00      -3.6990E+00      -3.6990E+00      -7.3848E+00      -9.8612E+00      -6.5844E+00      -7.3942E+00      -1.0372E+01      -6.1130E+00      -1.9172E+01      -8.3436E+00      -7.2051E+00      -1.1112E+01      -9.2213E+00      -7.3763E+00      -1.3757E+01      -6.9043E+00      -1.2605E+01      -1.3016E+01      -9.0719E+00      -1.1480E+01      -1.1950E+01      -8.7783E+00      -1.2841E+01      -9.3321E+00      -1.4146E+01      -9.0938E+00
       9.5000E-02       4.9019E+00      -4.8835E+00      -4.6812E+00      -4.2307E+00      -3.6174E+00      -4.6953E+00      -6.0530E+00      -3.0972E+00      -6.4267E+00      -2.9854E+00      -3.6990E+00      -3.6990E+00      -7.3616E+00      -9.8332E+00      -6.5636E+00      -7.3801E+00      -1.0358E+01      -6.1010E+00      -1.9130E+01      -8.3180E+00      -7.2075E+00      -1.1074E+01      -9.2210E+00      -7.4298E+00      -1.3729E+01      -6.9043E+00      -1.2566E+01      -1.3014E+01      -9.0695E+00      -1.1465E+01      -1.1922E+01      -8.7521E+00      -1.2880E+01      -9.3735E+00      -1.4131E+01      -9.0817E+00
